Player,Salary,Year
Dean Wade,375000,2019
Ky Bowman,350189,2019
Juan Toscano-Anderson,350189,2019
Norvel Pelle,350189,2019
Jamal Crawford,289803,2019
Jordan Bell,250000,2019
Tyler Zeller,245686,2019
Trey Burke,229220,2019
Jontay Porter,197933,2019
Cameron Payne,196288,2019
Jerian Grant,196288,2019
Dragan Bender,189700,2019
Mychal Mulder,187782,2019
Tyler Johnson,183115,2019
PJ Dozier,183115,2019
Sindarius Thornwell,183115,2019
Corey Brewer,183115,2019
Joe Chealey,163356,2019
Jaylen Adams,163356,2019
Johnathan Williams,161245,2019
Luguentz Dort,155647,2019
Oshae Brissett,129568,2019
JP Macura,106181,2019
Donta Hall,101504,2019
Sheldon Mac,91557,2019
Chasson Randle,91557,2019
Jonah Bolden,89846,2019
Derrick Walton,81678,2019
Charlie Brown,79568,2019
Tacko Fall,79568,2019
Tremont Waters,79568,2019
Jeremiah Martin,79568,2019
Chris Chiozza,79568,2019
Raymond Spalding,79568,2019
Kobi Simmons,79568,2019
Max Strus,79568,2019
Adam Mokoka,79568,2019
Matt Mooney,79568,2019
Josh Reaves,79568,2019
Antonius Cleveland,79568,2019
Bol Bol,79568,2019
Tyler Cook,79568,2019
Jordan Bone,79568,2019
Louis King,79568,2019
Michael Frazier,79568,2019
William Howard,79568,2019
Naz Long,79568,2019
Brian Bowen,79568,2019
Johnathan Motley,79568,2019
Amir Coffey,79568,2019
Devontae Cacok,79568,2019
Kostas Antetokounmpo,79568,2019
John Konchar,79568,2019
Yuta Watanabe,79568,2019
Kyle Alexander,79568,2019
Gabe Vincent,79568,2019
Cam Reynolds,79568,2019
Frank Mason,79568,2019
Kelan Martin,79568,2019
Jordan McLaughlin,79568,2019
Zylan Cheatham,79568,2019
Josh Gray,79568,2019
Kenny Wooten,79568,2019
Jared Harper,79568,2019
Kevin Hervey,79568,2019
Vic Law,79568,2019
BJ Johnson,79568,2019
Marial Shayok,79568,2019
Tariq Owens,79568,2019
Moses Brown,79568,2019
Jaylen Hoard,79568,2019
Kyle Guy,79568,2019
Drew Eubanks,79568,2019
Quinndary Weatherspoon,79568,2019
Paul Watson,79568,2019
Jarrell Brantley,79568,2019
Justin Wright-Foreman,79568,2019
Garrison Mathews,79568,2019
Malik Newman,65978,2019
